Energy(keV)	Counts
344,229	6074
344,455	5899
344,681	5944
344,907	5809
345,133	5855
345,359	6068
345,585	6012
345,811	6256
346,037	6350
346,263	6351
346,489	6231
346,715	6261
346,942	6184
347,168	5829
347,394	5994
347,620	5928
347,846	5848
348,072	5959
348,298	5900
348,524	5962
348,750	6003
348,976	5897
349,202	6008
349,428	6023
349,655	6014
349,881	5855
350,107	5975
350,333	5952
350,559	5973
350,785	5978
351,011	5890
351,237	6011
351,463	5940
351,689	5944
351,915	6007
352,141	5890
352,368	5815
352,594	5919
352,820	5889
353,046	6047
353,272	5873
353,498	5871
353,724	5909
353,950	5906
354,176	5871
354,402	6006
354,628	5911
354,855	5936
355,081	5959
355,307	5882
355,533	5995
355,759	5949
355,985	5927
356,211	5847
356,437	5906
356,663	6015
356,889	5746
357,115	5877
357,341	5953
357,568	5894
357,794	5922
358,020	5842
358,246	5859
358,472	5926
358,698	6049
358,924	5966
359,150	5947
359,376	5864
359,602	5949
359,828	5891
360,054	6043
360,281	5885
360,507	5826
360,733	5864
360,959	5732
361,185	5851
361,411	5989
361,637	5934
361,863	5921
362,089	6049
362,315	5948
362,541	5993
362,767	5963
362,994	5932
363,220	6068
363,446	5972
363,672	5866
363,898	5957
364,124	5936
364,350	5865
364,576	5802
364,802	5799
365,028	6013
365,254	5983
365,480	5930
365,707	5893
365,933	5832
366,159	5907
366,385	6017
366,611	5963
366,837	5769
367,063	5961
367,289	5910
367,515	5780
367,741	5929
367,967	6018
368,193	5927
368,420	5948
368,646	5985
368,872	5926
369,098	5955
369,324	6096
369,550	6043
369,776	6471
370,002	6560
370,228	6911
370,454	7112
370,680	7190
370,906	6751
371,133	6645
371,359	6338
371,585	6122
371,811	6042
372,037	5882
372,263	6101
372,489	5949
372,715	5961
372,941	5834
373,167	5957
373,393	6029
373,620	6070
373,846	6078
374,072	6073
374,298	6003
374,524	5815
374,750	5893
374,976	6131
375,202	5845
375,428	5929
375,654	6056
375,880	5947
376,106	5940
376,333	5913
376,559	5989
376,785	5819
377,011	5944
377,237	6017
377,463	6034
377,689	5981
377,915	5943
378,141	6077
378,367	6112
378,593	6184
378,819	6516
379,046	7410
379,272	8955
379,498	11007
379,724	12803
379,950	14094
380,176	13812
380,402	12305
380,628	10132
380,854	8263
381,080	6870
381,306	6300
381,532	6211
381,759	6083
381,985	6018
382,211	6026
382,437	6068
382,663	5789
382,889	6144
383,115	6002
383,341	5986
383,567	5951
383,793	6002
384,019	6084
384,245	6022
384,472	5993
384,698	6000
384,924	6050
385,150	5963
385,376	5937
385,602	5901
385,828	5999
386,054	5935
386,280	5916
386,506	5990
386,732	5993
386,958	6078
387,185	5990
387,411	5862
387,637	5989
387,863	5989
388,089	6096
388,315	5998
388,541	5967
388,767	6053
388,993	6046
389,219	6051
389,445	6079
389,671	6147
389,898	6055
390,124	6029
390,350	6121
390,576	6059
390,802	6106
391,028	6037
391,254	5961
391,480	6187
391,706	5939
391,932	6096
392,158	5959
392,384	6065
392,611	6041
392,837	6086
393,063	5973
393,289	6122
393,515	6012
393,741	6114
393,967	6054
394,193	6057
394,419	6099
394,645	6184
394,871	6089
395,098	6045
395,324	5996
395,550	6119
395,776	6164
396,002	6244
396,228	6242
396,454	6442
396,680	6470
396,906	6375
397,132	6366
397,358	6226
397,584	6095
397,811	6171
398,037	6098
398,263	6191
398,489	6119
398,715	5997
398,941	6148
399,167	6055
399,393	6067
399,619	6351
399,845	6463
400,071	7028
400,297	7656
400,524	8320
400,750	8557
400,976	8501
401,202	7978
401,428	7495
401,654	6794
401,880	6464
402,106	6283
402,332	6280
402,558	6215
402,784	6434
403,010	6336
403,237	6388
403,463	6279
403,689	6322
403,915	6272
404,141	6195
404,367	6142
404,593	6240
404,819	6102
405,045	6093
405,271	6077
405,497	6087
405,723	6159
405,950	6280
406,176	6177
406,402	6182
406,628	6384
406,854	6334
407,080	6675
407,306	6906
407,532	7004
407,758	6916
407,984	6849
408,210	6693
408,436	6365
408,663	6443
408,889	6149
409,115	6144
409,341	6079
409,567	6203
409,793	6079
410,019	6166
410,245	6095
410,471	6077
410,697	5951
410,923	6097
411,149	6029
411,376	6044
411,602	6054
411,828	6025
412,054	6050
412,280	6094
412,506	5965
412,732	5830
412,958	6197
413,184	5986
413,410	6120
413,636	5937
413,863	5937
414,089	6038
414,315	6002
414,541	6084
414,767	6101
414,993	5925
415,219	5920
415,445	6021
415,671	5952
415,897	5955
416,123	5744
416,349	6024
416,576	5888
416,802	6026
417,028	5827
417,254	5862
417,480	5872
417,706	5924
417,932	5843
418,158	5889
418,384	5977
418,610	5939
418,836	5958
419,062	5733
419,289	5837
419,515	5834
419,741	6014
419,967	5771
420,193	5842
420,419	5874
420,645	5908
420,871	5885
421,097	5787
